community_name,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade:,PctNotHSGrad:,PctBSorMore:,PctUnemployed:,PctEmploy:,PctEmplManu:,PctEmplProfServ:,PctOccupMgmtProf:,MalePctDivorce:,MalePctNevMarr:,FemalePctDiv:,TotalPctDiv:,PersPerFam:,PctFam2Par:,PctKids2Par:,PctYoungKids2Par:,PctTeen2Par:,PctWorkMomYoungKids:,PctWorkMom:,NumIlleg:,PctIlleg:,NumImmig:,PctRecentImmig:,PctSpeakEnglOnly:,PctNotSpeakEnglWell:,PctLargHouseFam:,PctLargHouseOccup:,PersPerOccupHous:,PersPerOwnOccHous:,PersPerRentOccHous:,PctPersOwnOccup:,PctPersDenseHous:,PctHousLess3BR:,MedNumBR:,HousVacant:,PctHousOccup:,PctHousOwnOcc:,PctVacantBoarded:,PctVacMore6Mos:,MedYrHousBuilt:,PctHousNoPhone:,PctWOFullPlumb:,OwnOccLowQuart:,OwnOccMedVal:,OwnOccHiQuart:,RentLowQ:,RentMedian:,RentHighQ:,MedRent:,MedRentPctHousInc:,MedOwnCostPctInc:,MedOwnCostPctIncNoMtg:,NumInShelters:,NumStreet:,PctForeignBorn:,PctBornSameState:,PctSameHouse85:,LandArea:,PopDens:,PctUsePubTrans:,ViolentCrimesPerPop:
Middletoncity,0.01,0.27,0.02,0.96,0.08,0.02,0.31,0.52,0.29,0.29,0.02,1,0.38,0.76,0.39,0.75,0.31,0.19,0.34,0.45,0.42,0.41,0.23,0.09,0.18,0,0.34,0.01,0.14,0.12,0.1,0.69,0.06,0.83,0.2,0.71,0.65,0.46,0.45,0.53,0.52,0.37,0.64,0.73,0.87,0.53,0.64,0.88,0,0.11,0,0.11,0.92,0.05,0.07,0.07,0.3,0.47,0.2,0.43,0.06,0.55,0,0.01,0.89,0.36,0.04,0.3,0.67,0.07,0.02,0.22,0.2,0.21,0.44,0.4,0.39,0.37,0.37,0.47,0.44,0,0,0.08,0.69,0.4,0.02,0.17,0.16,0.03
Goshentownship,0,0.61,0.01,0.99,0.01,0,0.45,0.51,0.31,0.2,0.01,0.47,0.33,0.78,0.49,0.31,0.35,0.22,0.37,0.28,0.21,0.19,0.39,0.04,0,0.47,0.53,0.01,0.21,0.43,0.65,0.09,0.34,0.58,0.73,0.16,0.15,0.43,0.25,0.42,0.44,0.58,0.79,0.76,0.74,0.76,0.54,0.52,0,0.11,0,0,0.99,0.01,0.24,0.28,0.68,0.63,0.72,0.89,0.12,0.3,0.5,0.01,0.91,0.9,0.18,0.54,0.71,0.2,0.33,0.12,0.11,0.1,0.21,0.21,0.24,0.27,0.36,0.34,0.21,0,0,0,0.78,0.67,0.1,0.03,0.04,0.03
Berlintown,0.01,0.51,0.01,0.98,0.06,0.02,0.31,0.33,0.21,0.54,0.02,0.79,0.62,0.56,0.63,0.75,0.61,0.09,0.67,0.61,0.51,0.5,0.14,0.23,0.33,0,0.75,0,0.06,0.22,0.29,0.36,0.22,0.62,0.41,0.38,0.5,0.24,0.35,0.21,0.22,0.5,0.89,0.89,0.94,0.82,0.73,0.78,0,0.06,0.01,0.04,0.74,0.07,0.12,0.14,0.55,0.57,0.27,0.9,0.03,0.23,0.5,0.01,0.91,0.87,0.17,0.65,0.42,0.03,0.09,0.51,0.49,0.48,0.35,0.44,0.53,0.5,0.26,0.46,0.64,0.04,0,0.26,0.79,0.86,0.07,0.05,0.02,0.03
Princetonborough,0,0.97,0.17,0.74,0.43,0.09,1,1,1,0.31,0,0,0.52,0.59,0.07,0.81,0.47,0.11,0.47,0.69,0.56,0.63,0.27,0.19,0.17,0.18,0.26,0.01,0.25,0.24,0.18,1,0.15,0.4,0.12,1,0.89,0.14,1,0.24,0.19,0.26,0.7,0.7,0.71,0.71,0.46,0.47,0,0.21,0.01,0.84,0.66,0.16,0.17,0.13,0.21,0.3,0.21,0.31,0.13,0.52,0.5,0.01,0.72,0.29,0.37,0.43,0,0.03,0,0.68,0.78,0.97,0.56,0.67,0.87,0.68,0.33,0.46,0.67,0,0,0.51,0.14,0.17,0,0.55,0.29,0.03
Kaukaunacity,0,0.49,0,0.96,0.11,0.01,0.37,0.47,0.24,0.43,0.02,1,0.32,0.52,0.3,0.67,0.56,0.27,0.52,0.32,0.23,0.23,0.07,0.14,0.06,0.31,0.19,0.01,0.19,0.4,0.37,0.15,0.29,0.55,0.8,0.26,0.22,0.33,0.34,0.24,0.29,0.58,0.76,0.82,0.74,0.67,0.64,0.67,0,0.1,0,0.04,0.96,0.06,0.28,0.27,0.52,0.59,0.34,0.71,0.09,0.4,0.5,0,0.95,0.66,0,0.46,0.31,0.1,0.14,0.1,0.09,0.08,0.19,0.21,0.2,0.2,0.28,0.21,0.43,0,0,0.03,0.99,0.75,0.01,0.21,0.05,0.03
Farmingtontown,0.02,0.36,0.03,0.95,0.13,0.02,0.21,0.32,0.17,0.47,0.02,0.76,0.68,0.63,0.14,0.8,0.49,0.11,0.55,0.7,0.8,0.77,0.63,0.43,0.65,0.99,0.59,0,0.05,0.15,0.17,0.71,0.17,0.62,0.3,0.63,0.78,0.3,0.35,0.36,0.35,0.4,0.85,0.9,0.9,0.84,0.43,0.56,0,0.05,0.01,0.1,0.85,0.03,0.1,0.1,0.38,0.45,0.2,0.75,0.02,0.44,0.5,0.02,0.81,0.69,0.09,0.44,0.67,0.03,0,0.53,0.56,0.61,0.76,0.75,0.96,0.79,0.41,0.51,0.26,0,0,0.22,0.57,0.51,0.08,0.06,0.1,0.03
Girardcity,0,0.32,0.04,0.96,0.01,0.01,0.33,0.4,0.25,0.64,0.02,1,0.2,0.27,0.02,0.48,0.75,0.36,0.83,0.23,0.22,0.21,0.22,0.18,0.26,0.16,0.28,0.01,0.31,0.33,0.5,0.19,0.51,0.3,0.52,0.47,0.29,0.42,0.35,0.48,0.48,0.41,0.66,0.67,0.84,0.56,0.36,0.3,0,0.06,0,0.01,0.88,0.03,0.16,0.15,0.36,0.42,0.27,0.65,0.06,0.46,0.5,0.01,0.86,0.61,0.12,0.43,0.29,0.24,0.45,0.06,0.05,0.05,0.17,0.19,0.18,0.19,0.28,0.12,0.56,0,0,0.08,0.82,0.87,0.01,0.2,0.02,0.03
Wakefieldtown,0.02,0.45,0.01,0.98,0.05,0.01,0.3,0.41,0.25,0.51,0.04,1,0.53,0.59,0.21,0.64,0.54,0.25,0.5,0.56,0.48,0.46,0.38,1,0.62,0.53,0.81,0.01,0.1,0.14,0.21,0.41,0.39,0.59,0.37,0.5,0.55,0.24,0.47,0.27,0.27,0.51,0.8,0.84,0.86,0.7,0.52,0.57,0,0.04,0.01,0,0.92,0.06,0.22,0.21,0.48,0.58,0.22,0.74,0.03,0.4,0.5,0.01,0.94,0.66,0.1,0.29,0.13,0.01,0.2,0.53,0.49,0.47,0.52,0.59,0.66,0.59,0.41,0.53,0.64,0,0,0.13,0.87,0.86,0.02,0.28,0.41,0.03
Searcycity,0.01,0.57,0.09,0.91,0.03,0.02,0.83,0.76,0.79,0.52,0,0,0.15,0.37,0.63,0.42,0.62,0.35,0.48,0.2,0.21,0.19,0.58,0.08,0.24,0.03,0.09,0.02,0.46,0.45,0.49,0.34,0.33,0.26,0.34,0.78,0.46,0.31,0.54,0.34,0.34,0.31,0.63,0.66,0.76,0.5,0.46,0.57,0,0.1,0,0.11,0.95,0.03,0.07,0.08,0.33,0.36,0.32,0.52,0.07,0.48,0.5,0.02,0.77,0.51,0.16,0.28,0.69,0.47,0.2,0.09,0.09,0.08,0.1,0.12,0.13,0.15,0.62,0.39,0.5,0,0,0.03,0.55,0.31,0.04,0.09,0.03,0.03
Princetontownship,0.01,0.39,0.13,0.76,0.45,0.07,0.25,0.35,0.18,0.49,0,0,0.83,0.68,0.34,0.92,0.42,0.11,0.46,0.91,1,1,0.4,0,0.53,0.34,0.91,0.01,0.14,0.11,0.06,1,0.18,0.52,0.16,1,1,0.19,0.37,0.34,0.28,0.32,0.79,0.84,0.88,0.77,0.48,0.39,0,0.12,0.02,1,0.65,0.16,0.12,0.13,0.41,0.42,0.41,0.6,0.08,0.29,0.5,0.02,0.74,0.6,0,0.38,0.4,0.03,0.2,0.81,0.96,1,0.43,0.52,0.69,0.45,0.41,0.42,0.47,0,0,0.61,0.2,0.54,0.05,0.07,0.43,0.03
Sacocity,0.01,0.38,0.01,0.99,0.04,0.01,0.37,0.48,0.29,0.43,0,0,0.35,0.61,0.33,0.55,0.48,0.26,0.42,0.35,0.32,0.3,0.05,0,0.51,0,0.67,0.01,0.15,0.31,0.32,0.32,0.36,0.57,0.49,0.47,0.4,0.42,0.36,0.44,0.45,0.41,0.7,0.73,0.76,0.75,0.7,0.75,0,0.09,0,0.05,0.71,0.07,0.11,0.11,0.41,0.49,0.3,0.6,0.05,0.54,0.5,0.04,0.48,0.56,0.3,0.92,0.4,0.18,0.6,0.26,0.26,0.26,0.36,0.38,0.42,0.39,0.44,0.56,0.63,0,0,0.08,0.74,0.59,0.11,0.03,0.05,0.03
LakeJacksoncity,0.02,0.52,0.06,0.84,0.14,0.2,0.39,0.43,0.23,0.2,0,0,0.57,0.81,0.14,0.65,0.23,0.06,0.4,0.54,0.47,0.47,0.4,0.16,0.39,0.32,0.42,0.01,0.08,0.1,0.14,0.54,0.15,0.67,0.91,0.31,0.64,0.38,0.21,0.33,0.36,0.53,0.86,0.86,0.91,0.9,0.44,0.38,0,0.03,0.01,0.27,0.81,0.07,0.18,0.19,0.56,0.61,0.46,0.63,0.14,0.33,0.5,0.04,0.62,0.6,0.34,0.35,0.67,0.22,0.16,0.14,0.15,0.16,0.3,0.3,0.32,0.3,0.09,0.18,0.19,0,0,0.15,0.61,0.46,0.04,0.14,0,0.03
Westlakecity,0.03,0.43,0.01,0.95,0.18,0.02,0.32,0.34,0.19,0.47,0.04,1,0.59,0.65,0.18,0.79,0.44,0.05,0.51,0.64,0.65,0.61,0.77,0.87,0.73,1,0.83,0,0.04,0.09,0.15,0.61,0.13,0.55,0.39,0.55,0.76,0.3,0.32,0.26,0.29,0.51,0.91,0.94,0.95,0.88,0.36,0.35,0,0.03,0.01,0.09,0.84,0.04,0.24,0.22,0.43,0.53,0.11,0.8,0.03,0.42,0.5,0.04,0.73,0.71,0.01,0.63,0.77,0.02,0.08,0.28,0.32,0.36,0.55,0.52,0.58,0.53,0.22,0.37,0.18,0,0,0.2,0.69,0.59,0.04,0.14,0.17,0.03
Somersworthcity,0,0.4,0.01,0.97,0.07,0.01,0.34,0.53,0.33,0.36,0.02,1,0.35,0.64,0.08,0.48,0.45,0.3,0.55,0.36,0.29,0.28,0.28,0.15,0.18,0,0.79,0.01,0.17,0.41,0.43,0.2,0.31,0.67,0.78,0.22,0.29,0.51,0.38,0.57,0.57,0.42,0.59,0.62,0.66,0.6,0.63,0.75,0,0.2,0,0.03,0.76,0.06,0.18,0.17,0.44,0.49,0.39,0.51,0.09,0.62,0,0.02,0.71,0.49,0.13,0.25,0.48,0.31,0.35,0.26,0.25,0.23,0.34,0.4,0.44,0.39,0.45,0.66,0.67,0.01,0,0.11,0.58,0.46,0.03,0.1,0.06,0.03
Barringtontown,0.01,0.53,0.01,0.98,0.06,0.01,0.36,0.32,0.2,0.45,0.03,1,0.68,0.61,0.28,0.76,0.5,0.12,0.47,0.67,0.68,0.66,0.34,0.22,0.81,0.23,0.55,0,0.03,0.09,0.17,0.76,0.21,0.56,0.33,0.76,0.8,0.15,0.3,0.23,0.2,0.49,0.9,0.92,0.93,0.83,0.31,0.36,0,0,0,0.11,0.88,0.03,0.1,0.13,0.55,0.54,0.39,0.92,0.02,0.17,0.5,0.01,0.88,0.9,0.14,0.7,0.27,0.01,0.12,0.45,0.49,0.56,0.48,0.53,0.73,0.6,0.44,0.55,0.53,0,0,0.13,0.5,0.78,0.02,0.16,0.14,0.03
Haddonfieldborough,0,0.41,0.03,0.97,0.05,0.01,0.31,0.3,0.18,0.57,0.02,1,0.74,0.55,0.21,0.88,0.55,0.06,0.69,0.78,0.81,0.8,0.36,0.46,0.77,0.04,0.43,0,0.06,0.07,0.13,0.92,0.04,0.52,0.2,0.9,0.98,0.18,0.34,0.27,0.24,0.42,0.84,0.86,0.98,0.73,0.48,0.51,0,0.09,0,0.06,0.93,0.02,0.14,0.15,0.43,0.47,0.14,0.88,0.01,0.2,0.5,0.01,0.89,0.83,0.05,0.55,0,0.02,0.07,0.43,0.48,0.56,0.57,0.56,0.64,0.56,0.53,0.49,0.68,0,0,0.09,0.42,0.84,0.01,0.34,0.75,0.03
Middletowntownship,0.09,0.62,0.04,0.93,0.16,0.05,0.43,0.42,0.29,0.37,0.11,1,0.7,0.68,0.22,0.66,0.48,0.15,0.53,0.69,0.58,0.56,0.34,0.25,0.58,0.3,0.73,0.01,0.05,0.16,0.24,0.48,0.26,0.58,0.25,0.42,0.61,0.16,0.4,0.2,0.19,0.64,0.91,0.9,0.91,0.83,0.31,0.39,0.01,0.06,0.03,0.07,0.86,0.05,0.28,0.3,0.66,0.69,0.31,0.89,0.04,0.27,0.5,0.04,0.88,0.84,0.2,0.49,0.54,0.02,0.1,0.47,0.48,0.54,0.46,0.61,0.75,0.65,0.59,0.6,0.81,0,0,0.2,0.55,0.8,0.12,0.14,0.54,0.03
Laceytownship,0.02,0.51,0.01,0.99,0.02,0.03,0.39,0.37,0.23,0.61,0,0,0.42,0.48,0.07,0.58,0.68,0.15,0.78,0.41,0.33,0.32,0.01,0.27,0.89,0.32,0.55,0.01,0.1,0.26,0.39,0.21,0.37,0.43,0.21,0.45,0.37,0.23,0.27,0.25,0.25,0.49,0.82,0.8,0.9,0.77,0.42,0.52,0,0.04,0.01,0.04,0.89,0.04,0.2,0.22,0.55,0.5,0.71,0.88,0.04,0.37,0.5,0.08,0.29,0.9,0.02,0.8,0.77,0.03,0.08,0.32,0.31,0.33,0.68,0.65,0.67,0.77,0.69,0.68,0.79,0,0,0.12,0.76,0.62,0.24,0.02,0.07,0.03
Ankenycity,0.01,0.48,0.01,0.99,0.03,0.01,0.54,0.64,0.45,0.13,0,0,0.41,0.87,0.38,0.61,0.16,0.1,0.2,0.42,0.32,0.31,0.15,0,0.23,0.36,0.33,0.01,0.14,0.06,0.08,0.47,0.06,0.92,0.22,0.49,0.51,0.31,0.36,0.35,0.34,0.51,0.81,0.87,0.82,0.78,0.83,0.82,0,0.07,0,0.01,0.97,0.01,0.12,0.12,0.51,0.64,0.3,0.65,0.08,0.46,0.5,0.01,0.9,0.58,0.03,0.15,0.71,0.05,0,0.16,0.13,0.12,0.31,0.29,0.28,0.29,0.28,0.32,0.32,0,0,0.01,0.81,0.39,0.04,0.12,0.01,0.03
Trumbulltown,0.04,0.59,0.02,0.96,0.1,0.03,0.34,0.34,0.23,0.51,0.05,1,0.81,0.6,0.18,0.85,0.6,0.09,0.62,0.77,0.68,0.65,1,0.17,0.37,0,0.65,0.01,0.04,0.26,0.26,0.58,0.24,0.54,0.47,0.49,0.7,0.08,0.32,0.13,0.11,0.56,0.94,0.92,0.96,0.84,0.29,0.43,0,0.05,0.02,0.09,0.76,0.07,0.2,0.23,0.64,0.63,0.43,0.96,0.02,0.12,0.5,0.01,0.94,0.95,0.09,0.41,0.46,0.01,0.13,0.66,0.65,0.64,0.15,0.62,1,0.82,0.28,0.55,0.6,0,0,0.28,0.59,0.88,0.07,0.11,0.08,0.03
FortAtkinsoncity,0,0.4,0,0.98,0.04,0.02,0.36,0.41,0.21,0.49,0,0,0.28,0.5,0.32,0.64,0.6,0.21,0.57,0.32,0.29,0.27,0,0.16,0.61,0.21,0.31,0.01,0.2,0.27,0.31,0.34,0.18,0.63,0.7,0.36,0.36,0.4,0.3,0.36,0.39,0.46,0.74,0.78,0.72,0.7,0.76,0.81,0,0.11,0,0.04,0.94,0.01,0.19,0.17,0.42,0.51,0.26,0.66,0.05,0.43,0.5,0,0.95,0.61,0.09,0.33,0.27,0.11,0.09,0.1,0.08,0.08,0.2,0.22,0.23,0.21,0.3,0.3,0.5,0,0,0.07,0.8,0.59,0.01,0.2,0,0.03
Dublincity,0.01,0.6,0.02,0.92,0.28,0.01,0.35,0.26,0.11,0.1,0.03,1,0.99,0.91,0.22,0.85,0.09,0.01,0.17,0.9,0.88,0.87,0.62,0,0.56,0.34,0.41,0,0.01,0.01,0,0.96,0,0.76,0.37,0.5,1,0.2,0.16,0.21,0.21,0.58,0.97,1,0.98,0.86,0.24,0.27,0,0.03,0.01,0.2,0.89,0.09,0.12,0.15,0.66,0.71,0.31,0.85,0.01,0.2,1,0.02,0.74,0.79,0.1,0.34,0.96,0.01,0.14,0.45,0.47,0.51,0.59,0.63,0.69,0.64,0.1,0.53,0.19,0,0,0.14,0.53,0.11,0.05,0.08,0,0.03
Canyoncity,0,0.47,0.05,0.86,0.11,0.17,0.86,0.85,0.82,0.28,0,0,0.19,0.64,1,0.4,0.37,0.15,0.4,0.29,0.19,0.2,0.08,0.08,0.1,0.16,0.21,0.02,0.45,0.18,0.23,0.64,0.35,0.56,0.06,0.84,0.53,0.29,0.65,0.43,0.38,0.44,0.59,0.65,0.66,0.59,0.78,0.8,0,0.07,0,0.18,0.82,0.08,0.16,0.14,0.36,0.43,0.31,0.47,0.14,0.53,0.5,0.03,0.48,0.44,0.18,0.44,0.63,0.35,0.56,0.1,0.09,0.1,0.16,0.18,0.2,0.17,0.65,0.44,0.31,0,0,0.08,0.7,0.3,0.01,0.19,0,0.03
Anacortescity,0,0.33,0.01,0.94,0.08,0.04,0.26,0.27,0.13,0.73,0,0,0.29,0.2,0.18,0.6,0.75,0.32,0.9,0.31,0.32,0.31,0.06,0.18,0.11,0.28,0.34,0.01,0.3,0.22,0.31,0.23,0.52,0.19,0.43,0.3,0.31,0.56,0.16,0.5,0.54,0.31,0.65,0.67,0.55,0.49,0.49,0.38,0,0.08,0,0,0.95,0.06,0.15,0.15,0.34,0.34,0.38,0.61,0.12,0.46,0.5,0.02,0.75,0.62,0.4,0.31,0.54,0.2,0.2,0.17,0.18,0.22,0.21,0.27,0.33,0.29,0.51,0.35,0.24,0.01,0,0.12,0.42,0.47,0.03,0.09,0.04,0.03
Westbrookcity,0.01,0.38,0.01,0.98,0.03,0.01,0.38,0.51,0.32,0.43,0.03,1,0.3,0.61,0.19,0.44,0.48,0.31,0.58,0.32,0.28,0.26,0.37,0.16,0.24,0.36,0.14,0.01,0.25,0.25,0.35,0.2,0.28,0.59,0.46,0.35,0.3,0.48,0.37,0.55,0.54,0.4,0.57,0.6,0.63,0.47,0.69,0.78,0,0.14,0,0.03,0.86,0.07,0.1,0.11,0.42,0.47,0.37,0.54,0.04,0.55,0,0.01,0.86,0.52,0.2,0.39,0.25,0.12,0.11,0.25,0.24,0.22,0.35,0.4,0.44,0.39,0.52,0.44,0.4,0,0,0.06,0.84,0.57,0.05,0.08,0.12,0.03
FairLawnborough,0.03,0.44,0.01,0.94,0.18,0.06,0.27,0.29,0.17,0.69,0.05,1,0.63,0.52,0.18,0.76,0.67,0.14,0.63,0.63,0.59,0.58,0.36,0,0.47,0.42,0.68,0.01,0.06,0.22,0.31,0.49,0.19,0.51,0.33,0.49,0.58,0.13,0.32,0.19,0.17,0.44,0.88,0.9,0.97,0.8,0.39,0.46,0,0.03,0.03,0.28,0.67,0.17,0.16,0.17,0.48,0.52,0.27,0.83,0.04,0.28,0.5,0.01,0.94,0.79,0,0.24,0.21,0.01,0.16,0.58,0.52,0.5,0.53,0.51,0.75,0.5,0.6,0.56,0.74,0,0,0.49,0.46,0.91,0.01,0.49,0.58,0.03
Vermilioncity,0,0.52,0,0.99,0.01,0.02,0.45,0.44,0.27,0.34,0.02,1,0.43,0.64,0,0.53,0.43,0.24,0.64,0.4,0.33,0.31,0,0.32,0.27,0.13,0.49,0.01,0.22,0.18,0.32,0.26,0.27,0.56,0.68,0.39,0.33,0.43,0.27,0.38,0.41,0.53,0.8,0.77,0.78,0.86,0.66,0.56,0,0.06,0,0.01,0.95,0.02,0.23,0.24,0.55,0.58,0.44,0.72,0.08,0.32,0.5,0.02,0.63,0.69,0.1,0.92,0.5,0.09,0.28,0.12,0.11,0.12,0.27,0.27,0.27,0.32,0.33,0.18,0.14,0,0,0.07,0.69,0.69,0.03,0.09,0.01,0.03
Jeffersontownship,0.01,0.53,0.01,0.98,0.05,0.04,0.34,0.43,0.24,0.24,0.01,0.44,0.61,0.81,0.13,0.61,0.28,0.12,0.4,0.57,0.5,0.49,0.38,0.54,0.33,0.85,0.71,0,0.05,0.17,0.2,0.4,0.13,0.77,0.32,0.36,0.48,0.38,0.35,0.32,0.36,0.55,0.86,0.86,0.92,0.59,0.42,0.52,0,0.05,0.01,0.01,0.88,0.05,0.18,0.2,0.58,0.58,0.37,0.88,0.05,0.38,0.5,0.04,0.54,0.86,0.19,0.98,0.46,0.07,0.58,0.41,0.4,0.38,0.63,0.63,0.78,0.74,0.59,0.68,0.83,0,0,0.13,0.72,0.74,0.12,0.04,0.12,0.03
Franklintown,0.02,0.61,0.01,0.98,0.06,0.01,0.5,0.54,0.39,0.23,0.03,0.78,0.64,0.74,0.09,0.61,0.32,0.18,0.42,0.6,0.45,0.43,0.44,0.46,0.37,0.26,0.81,0,0.05,0.12,0.19,0.49,0.3,0.65,0.4,0.45,0.56,0.22,0.47,0.24,0.24,0.59,0.85,0.87,0.94,0.77,0.45,0.52,0,0.05,0,0.08,0.93,0.04,0.23,0.24,0.6,0.68,0.32,0.78,0.04,0.34,0.5,0.01,0.88,0.72,0.08,0.37,0.56,0.01,0.12,0.46,0.42,0.39,0.38,0.46,0.59,0.46,0.4,0.61,0.56,0,0,0.1,0.75,0.59,0.08,0.07,0.29,0.03
RidgefieldParkvillage,0,0.36,0.04,0.87,0.26,0.18,0.26,0.48,0.28,0.45,0.02,1,0.51,0.65,0.22,0.61,0.48,0.22,0.4,0.53,0.49,0.48,0.31,0,0.37,0.6,0.83,0.01,0.12,0.29,0.36,0.33,0.25,0.64,0.36,0.29,0.49,0.29,0.51,0.32,0.32,0.5,0.75,0.75,0.88,0.85,0.48,0.48,0,0.17,0.01,0.28,0.69,0.17,0.3,0.26,0.41,0.59,0.24,0.52,0.13,0.6,0,0.01,0.9,0.44,0.14,0.66,0,0.05,0.1,0.48,0.44,0.39,0.62,0.63,0.69,0.62,0.53,0.65,0.49,0,0,0.42,0.56,0.78,0,0.6,0.72,0.03
Germantownvillage,0.01,0.5,0.01,0.99,0.03,0.01,0.39,0.49,0.27,0.21,0.02,1,0.52,0.83,0.74,0.71,0.3,0.06,0.33,0.48,0.39,0.38,0,0.28,0.34,0.18,0.22,0,0.05,0.14,0.2,0.34,0.1,0.81,0.67,0.23,0.42,0.29,0.32,0.34,0.32,0.51,0.86,0.88,0.91,0.82,0.78,0.78,0,0.04,0,0,0.96,0.04,0.16,0.18,0.55,0.61,0.34,0.77,0.04,0.38,0.5,0.01,0.89,0.72,0,0.36,0.75,0.01,0.09,0.23,0.21,0.2,0.52,0.44,0.44,0.44,0.16,0.53,0.49,0,0,0.06,0.9,0.53,0.1,0.03,0.04,0.03
Hillsboroughtown,0,0.59,0.01,0.69,1,0.07,0.41,0.28,0.23,0.57,0.02,1,1,0.42,0.68,0.96,0.48,0.09,0.49,1,1,1,0.43,0.24,1,0.07,1,0,0.1,0.04,0.03,0.94,0.09,0.38,0.19,0.58,1,0.08,0.26,0.09,0.08,0.47,0.96,0.96,1,0.91,0.08,0,0,0.05,0.01,0.42,0.56,0.2,0.29,0.34,0.65,0.61,0.72,0.99,0.03,0,1,0.01,0.85,1,0.09,0.52,0.46,0,0.32,1,1,1,1,1,1,1,0,0.96,0.19,0,0,0.61,0.46,0.75,0.02,0.14,0.22,0.03
Mentorcity,0.06,0.53,0.01,0.98,0.05,0.01,0.4,0.4,0.24,0.29,0.07,1,0.5,0.7,0.1,0.65,0.39,0.13,0.54,0.48,0.4,0.38,0.62,0.24,0.42,0.33,0.36,0.01,0.06,0.11,0.22,0.35,0.2,0.66,0.67,0.3,0.48,0.31,0.28,0.33,0.33,0.55,0.85,0.86,0.91,0.71,0.48,0.57,0,0.03,0.01,0.03,0.93,0.03,0.18,0.2,0.58,0.58,0.42,0.88,0.03,0.19,0.5,0.02,0.93,0.86,0.14,0.27,0.63,0.05,0.11,0.19,0.19,0.2,0.46,0.42,0.44,0.45,0.38,0.35,0.31,0,0,0.08,0.78,0.63,0.08,0.15,0.02,0.03
Clintontown,0,0.48,0.02,0.96,0.06,0.05,0.39,0.43,0.26,0.3,0,0,0.56,0.72,0.28,0.64,0.36,0.09,0.35,0.55,0.43,0.42,0.43,0.22,0.48,0.32,0.34,0,0.07,0.1,0.22,0.42,0.27,0.73,0.45,0.37,0.49,0.39,0.36,0.45,0.43,0.51,0.81,0.82,0.9,0.87,0.53,0.67,0,0.11,0,0.09,0.92,0.08,0.19,0.2,0.53,0.55,0.37,0.78,0.05,0.38,0.5,0.04,0.41,0.75,0.07,0.88,0.54,0.06,0.93,0.49,0.45,0.43,0.59,0.63,0.69,0.72,0.63,0.67,0.47,0.03,0,0.08,0.63,0.6,0.05,0.06,0.05,0.03
GlenRockborough,0,0.53,0.04,0.88,0.36,0.03,0.3,0.27,0.16,0.51,0.02,1,0.89,0.65,0.2,0.84,0.56,0.03,0.61,0.86,0.78,0.77,0.59,0,0.53,1,0.85,0,0.02,0.05,0.07,0.88,0.07,0.57,0.32,0.58,0.91,0.07,0.28,0.17,0.13,0.49,0.97,0.97,0.98,0.72,0.26,0.36,0,0.05,0.01,0.14,0.81,0.07,0.13,0.16,0.59,0.57,0.43,0.94,0.02,0.08,0.5,0,0.92,0.93,0,0.45,0.23,0.01,0.06,0.71,0.69,0.64,0.96,0.98,1,1,0.65,0.58,0.68,0,0,0.28,0.4,0.89,0.01,0.33,0.76,0.03
Westwoodtown,0,0.53,0.01,0.98,0.09,0.01,0.34,0.37,0.29,0.54,0.02,0.97,0.77,0.62,0.29,0.77,0.59,0.1,0.66,0.79,0.73,0.71,0.33,0,0.4,0,0.67,0,0.04,0.1,0.1,0.76,0.29,0.53,0.26,0.66,0.85,0.1,0.43,0.11,0.11,0.56,0.95,0.95,0.98,0.88,0.42,0.43,0,0.04,0.01,0.08,0.85,0.03,0.27,0.28,0.58,0.62,0.13,0.92,0.01,0.22,0.5,0,0.94,0.87,0.21,0.62,0.35,0,0,0.63,0.65,0.71,0.29,0.47,0.62,0.41,0.56,0.53,0.47,0,0,0.22,0.79,0.97,0.03,0.09,0.42,0.03
Jacksontownship,0.04,0.61,0.06,0.92,0.09,0.08,0.38,0.48,0.27,0.29,0.03,0.59,0.54,0.71,0.37,0.51,0.37,0.15,0.39,0.51,0.38,0.36,0.46,0.3,0.35,0.57,0.56,0.01,0.09,0.22,0.34,0.25,0.34,0.63,0.34,0.3,0.4,0.27,0.32,0.27,0.28,0.63,0.87,0.84,0.9,0.77,0.45,0.49,0.01,0.16,0.01,0.06,0.83,0.07,0.31,0.33,0.66,0.65,0.5,0.89,0.06,0.37,0.5,0.04,0.77,0.88,0.2,0.69,0.73,0.07,0.07,0.37,0.35,0.33,0.59,0.57,0.65,0.6,0.74,0.79,0.82,0,0,0.19,0.6,0.55,0.29,0.03,0.2,0.03
